Scott Dunlap,77.24,71.79204193238118,3.597648446967946,25.0,71.88430894028774,3.2718678265274064,25.0,71.23401830410344,3.2699098278822682,10.0,70.41987753160609,2.069371543063336,10.0,152872,25
Jeff Klauk,36.130434782608695,69.20495661826075,3.353702435981455,23.0,70.24428286678054,2.272756363163798,23.0,70.6633049864167,1.5300775699415046,17.0,69.62456410159648,2.2413022663805573,17.0,407419,23
Arjun Atwal,39.76190476190476,69.84462235021503,2.1022193218648417,21.0,69.91040191610057,3.4518143275760504,21.0,70.8789723042141,3.1142736170049474,16.0,70.71427366137483,2.2394986096357834,16.0,238937,21
Chris Smith,48.27272727272727,70.74084713214394,2.8961597835976756,22.0,70.22816396878972,1.8531926004133294,22.0,69.49948664513227,2.493984623477967,14.0,71.23078409203735,2.4726959175757672,14.0,105054,22
Bill Lunde,40.125,69.55598650426587,2.345614089981588,24.0,69.57270718995291,3.1262476383590143,24.0,71.00194875868132,2.7910939871064553,19.0,71.2580096389468,2.8924932982905864,19.0,309048,24
Grant Waite,74.63157894736842,71.39158269603281,2.4383083625570485,19.0,71.3470693644035,2.8497404528073664,19.0,71.74922831980349,2.8860512348886758,9.0,71.63270817165022,2.7025887919063445,9.0,44337,19
Jarrod Lyle,51.91304347826087,70.29215684176803,2.809781035218256,23.0,70.32622756110288,3.380006156695153,23.0,70.08534206033751,3.1474797767897837,15.0,70.57715198864884,3.3267223290863717,15.0,369698,23
Greg Chalmers,28.238095238095237,69.42821650924395,2.777803320182311,21.0,69.0617804721949,2.91669741190178,21.0,70.70720350067724,2.1817323837212053,17.0,69.24885809573263,2.199693364529209,17.0,303190,21
Scott Parel,63.208333333333336,70.99738793722379,2.3670964605386393,24.0,70.75748790306535,3.1159700512285577,24.0,70.77136017893547,3.0918198502034064,15.0,72.55325422881627,3.834083677228169,15.0,86486,24
Craig Bowden,76.38095238095238,71.29072113477287,2.8335645652818737,21.0,71.96347563888719,3.583966678848826,21.0,71.17275033448617,3.2156004404555945,9.0,70.05562477059465,2.4095363864165855,9.0,78608,21
Brendon de Jonge,25.03846153846154,69.69102679520243,2.1194555800716217,26.0,69.02189582877733,2.5017841744960143,26.0,69.51250086955078,3.3157662718584375,22.0,70.1990359178293,2.724585308185806,22.0,437036,26
Matt Every,62.22727272727273,70.77271199520881,3.374566534403527,22.0,70.51351210271888,2.9892507172740603,22.0,69.96434748038797,3.0017392935048934,10.0,70.7138313904859,3.503138663161366,10.0,148667,22
Tom Carter,93.16,72.17569134262251,2.5375325662417008,25.0,72.38956186455006,3.3149595377949046,25.0,71.77935252782271,1.314075827234813,7.0,73.42969512511456,3.501937905576963,7.0,22383,25
Glen Day,69.42857142857143,71.57069083280985,3.212223993656952,7.0,71.06514981827995,2.85043741862,7.0,70.25428269460528,0.6818086136707971,3.0,70.94114511533866,1.9010099748262115,3.0,19675,7
Rick Price,55.65217391304348,69.66341248435825,2.3821984846085846,23.0,71.22922522786223,1.9999082699546133,23.0,71.43498281366855,2.7124123586035025,14.0,72.58394500355067,2.667011990778315,14.0,236362,23
Casey Wittenberg,47.90909090909091,70.56809865572971,1.924086285510667,22.0,70.5039180844084,2.6739941473389877,22.0,70.6698262624021,2.5534481436392427,15.0,70.00233632520388,2.4071031606846,15.0,170828,22
Skip Kendall,55.17391304347826,70.5968277232561,2.9027770014493264,23.0,70.50067222510994,3.19008416404975,23.0,71.10409335364076,3.2250958103045866,14.0,71.15506490958845,3.223259025504967,14.0,138048,23
B.J. Staten,62.21739130434783,70.53091067592788,2.464332417285252,23.0,71.33522968222512,2.8351893998633346,23.0,71.03583180208963,3.302723684767916,12.0,70.4001792189952,1.842824127119258,12.0,84254,23
Jeremy Anderson,76.85714285714286,72.16569432065442,2.2251930562428535,21.0,70.60933287872139,2.041746881974461,21.0,73.3761642937105,2.1210741231328956,8.0,71.77460313813904,2.860112577509056,8.0,25882,21
Vance Veazey,54.82608695652174,70.66221026642093,3.105923164764935,23.0,70.24715236959473,2.7185755699515806,23.0,70.68081079862542,2.454876320556904,15.0,71.29450214456844,2.67071424105912,15.0,133640,23
Scott Gutschewski,54.791666666666664,71.20444717976324,3.366581093946731,24.0,70.51742694118016,2.9391597614687357,24.0,70.10462672542968,2.047644674440608,15.0,70.37940556930639,2.2250031089890805,15.0,238217,24
Bob Heintz,49.0,69.1963840498277,2.259271853574374,8.0,71.04102456282045,2.6900658482641906,8.0,70.33289526126791,1.618080421146556,5.0,73.06075219810415,2.2069425489358268,5.0,24036,8
Jason Schultz,53.43478260869565,70.7741789057537,2.173142921908462,23.0,70.5480555835287,2.516945724037255,23.0,71.775504924206,2.2716829563401504,15.0,71.1102274966194,2.7915118905352614,15.0,79193,23
Sebastian Fernandez,69.64,70.34763326480525,3.0181505326061786,25.0,71.56521655595684,2.7028047074239003,25.0,72.9133203548995,3.241719731976099,12.0,72.01811802622603,3.7005747488430663,12.0,51371,25
Fabian Gomez,63.833333333333336,70.74996293618194,2.983319698297255,24.0,71.36367258845513,2.571501774945013,24.0,71.07561263434299,2.6797217395804203,11.0,70.54355172238662,2.5710464892448295,11.0,89032,24
Bret Guetz,66.75,71.0083598142375,2.6208880087668343,24.0,70.75870188631124,2.615074273090472,24.0,71.99536086602491,2.1665409151684267,11.0,71.2045958129954,2.0297124292875144,11.0,63031,24
Esteban Toledo,59.34782608695652,71.12009076031006,1.8865718570864614,23.0,70.50047005737541,2.958082938948573,23.0,71.0611457051446,3.0229728491037586,15.0,71.48059155446789,1.9306769112162872,15.0,93624,23
