Carl Paulson,2004,71.4206347887354,72.61940236692693,1.1987675781915357
Jason Gore,2004,71.99407007436022,71.52447965704512,-0.46959041731510354
Steve Alker,2004,72.091703039537,70.77726554626805,-1.3144374932689402
Mark Wilson,2004,72.13513048824122,70.74442007779939,-1.3907104104418266
Anthony Painter,2004,72.61624068294401,71.48259017510308,-1.133650507840926
Vance Veazey,2004,72.50088257339125,71.15749112955066,-1.3433914438405878
Chris M. Anderson,2004,71.71446776213007,70.46681557513033,-1.2476521869997441
Jason Buha,2004,72.33693297985134,70.84610070838481,-1.4908322714665303
Robin Freeman,2004,72.29374457839761,72.0805292536523,-0.21321532474530613
Darron Stiles,2004,71.52355598635502,70.16418207309287,-1.3593739132621465
Aaron Barber,2004,71.67992280406979,71.06425900596244,-0.6156637981073487
Todd Barranger,2004,72.85153918239192,73.901323948737,1.049784766345084
Doug Barron,2004,72.02481594849658,70.43447860614572,-1.590337342350864
Dave Stockton Jr.,2004,72.85382184302725,72.46707784658975,-0.38674399643750235
Ty Tryon,2004,73.68883967827115,72.82796059921455,-0.8608790790566019
Gavin Coles,2004,72.87256615553895,71.43354522127946,-1.4390209342594886
Jason Caron,2004,72.38979886497005,70.44288012315423,-1.9469187418158214
Gary Hallberg,2004,73.29110958184525,72.27543135152501,-1.0156782303202334
Brian Henninger,2004,71.22151210016663,72.20138850911275,0.9798764089461116
Jim McGovern,2004,71.13902730329154,71.47551195140139,0.33648464810984535
Paul Gow,2004,71.19766612135714,70.85139532058884,-0.3462708007683091
Mathew Goggin,2004,71.7347093889423,70.18016704295192,-1.5545423459903844
Mike Standly,2004,71.58571353055827,71.99229954094434,0.40658601038607856
Kenneth Staton,2004,72.21346896262614,71.87126166211053,-0.34220730051561077
Mike Grob,2004,71.48399186592619,71.69489870370697,0.210906837780783
Mike Sposa,2004,71.40025943316508,71.25015895984298,-0.15010047332209808
John Morse,2004,72.42316171007135,71.19067167828301,-1.2324900317883447
Tom Scherrer,2004,72.02242299965343,70.58190838124693,-1.440514618406496
Kelly Gibson,2004,72.3818290137227,71.56276469063098,-0.819064323091709
Ricky Barnes,2004,71.85035457087544,71.22140825333993,-0.6289463175355081
Jeff Gallagher,2004,71.35671661491449,72.31888151746438,0.9621649025498868
Gabriel Hjertstedt,2004,74.74583663522638,71.55372031936511,-3.19211631586127
Brent Schwarzrock,2004,71.59582152361644,71.55127579005185,-0.044545733564589796
Nolan Henke,2004,73.01258902876188,72.58932298873862,-0.4232660400232646
Brad Elder,2004,72.03294590772236,71.3816546812481,-0.651291226474271
D.J. Trahan,2004,71.89018185362605,70.95757018268887,-0.9326116709371775
Nick Watney,2004,71.44289191345439,70.29289050501664,-1.1500014084377455
Mike Springer,2004,72.4145150543669,71.06044468024568,-1.3540703741212212
Dave Rummells,2004,72.43990953516412,72.44934645080552,0.00943691564140181
Craig Bowden,2005,71.36783969648407,70.6048876710561,-0.762952025427964
Brenden Pappas,2005,71.42883485906711,71.73607379829446,0.30723893922734646
Pat Bates,2005,71.598355998485,71.44236172406218,-0.15599427442282376
Jason Dufner,2005,71.44784717089988,71.30953763179376,-0.13830953910611754
John Maginnes,2005,73.5305277340532,72.64708079205228,-0.8834469420009157
Ken Duke,2005,72.11241593771722,71.23705811045411,-0.8753578272631017
Richard S. Johnson,2005,71.3225623292813,69.48133790574147,-1.8412244235398276
Tom Carter,2005,71.92146866989627,71.51917197629447,-0.402296693601798
Rich Barcelo,2005,71.95421148001414,70.93092573046958,-1.0232857495445558
David Morland IV,2005,72.33251922110799,71.10534172067905,-1.2271775004289367
Boyd Summerhays,2005,72.20256125343049,72.283450360259,0.0808891068285078
Grant Waite,2005,72.44741706101854,71.48626391233171,-0.961153148686833
David Branshaw,2005,72.04319329541006,70.120972514012,-1.9222207813980674
Kris Cox,2005,72.16875658653869,70.48325034112858,-1.6855062454101102
Tripp Isenhour,2005,72.04246989277138,71.32847460494776,-0.7139952878236215
Brian Kortan,2005,72.36179246733053,71.3327026517741,-1.029089815556432
Roger Tambellini,2005,72.0085885609963,70.79552216473148,-1.2130663962648214
Esteban Toledo,2005,72.47240061112637,71.28400487594838,-1.1883957351779912
Chris Couch,2005,73.51410025895859,70.00045736509088,-3.5136428938677113
Spike McRoy,2005,71.60896984929481,71.26678160184893,-0.3421882474458755
David Peoples,2005,70.9230915595451,70.7231092982153,-0.1999822613297937
Dan Olsen,2005,72.13642357732054,71.30293647977786,-0.8334870975426867
Blaine McCallister,2005,72.29479481639187,70.7603248831477,-1.5344699332441678
Wes Short Jr.,2005,71.18903672184616,70.42225016865608,-0.7667865531900873
Guy Boros,2005,72.58606212204243,71.6390305940289,-0.9470315280135395
Ricky Barnes,2005,72.37589862424998,70.60668512291747,-1.7692135013325156
David Gossett,2005,75.0405472100441,75.54356909528207,0.5030218852379704
Per-Ulrik Johansson,2005,72.61766329457734,71.90339572793702,-0.7142675666403164
Cliff Kresge,2005,71.98794139907031,71.15174974050389,-0.8361916585664204
Willie Wood,2005,71.85092353620381,71.7603734552551,-0.09055008094870232
Greg Chalmers,2005,71.55513155282722,70.7557911022705,-0.7993404505567128
Jay Delsing,2005,71.62037222370984,71.30630563936033,-0.3140665843495043
David Edwards,2005,71.36979268019314,71.26443923870582,-0.10535344148732406
Jay Don Blake,2005,72.77307170860512,71.76496381337458,-1.0081078952305376
Joel Kribel,2005,71.70408467314411,71.2308122634122,-0.473272409731905
Trevor Dodds,2005,73.15697012049183,73.39765726111666,0.24068714062482854
Deane Pappas,2005,71.66477805967793,70.77812176802419,-0.8866562916537362
