Miguel Carballo,-4.495048050789919,-6.134145795150829,-0.814179212026346,-7.718941116788244,-1.5026712755184093,-4.662393497740624,7.393933662753199,3.714921317074186,2.3187293504596767,-6.2164819171459555,-1.2401485068481009,2.7434580505289574,-3.5144234122705456,2.3381406902935566,2.5493128514657144,1.44931285146572,-0.4931683515417973,-6.624747298910222,5.811217613370488,-2.4221157199628465,-2.825383693819063,-2.1129653931654673,1.3778842800371507,-1.5721157199628522,1.7432437571613377,-2.8123117983942194,3.199623410471929,3.8083190626458503,-1.9779598758070023,0.8467154488683235,1.8597024618553348,1.2536418557947258,-3.170799930489167,0.5923579642476682,-0.7251007945897214,3.707735026305798,2.6646392469245654,-0.10357267360524247,1.5424004090694012,-5.489857655446727,-0.24275064059777662,0.7096303117831866,0.3083190626458503,0.25759442496467955,5.5778842800371535,2.8064557086085813,-1.4207999304891672,-6.756326246278647,-0.07969147753860284,3.1930357951886634,0.34455094670381925,-4.211004608851738,-2.7078300056771383,-3.55068714853428,3.1712176133704872,0.4712176133704844,-1.249268037843649,1.717619379374895,3.3249431035665538,2.1615444107561075,9.651910254063125,-2.2766611745083054,-2.766560164407295,-1.2240765042765815,4.216345818498681,-1.0298080276551644,0.04152064367350761,-0.7347031325502655,2.6199132655443975,-5.148202676484587,-1.4078300056771411,-2.1935442913914187,4.798451655923671,6.5856856984768655,0.07483084492264425,-0.35265007110788815,1.517169994322856,-0.607830005677144,-1.607830005677144,1.7314557086085784,
Jim McGovern,-1.550408887184588,-4.189506631545498,-1.8695400484210154,-5.774301953182913,-1.069784248665215,4.744318315437354,-2.5866268831549064,1.5310201756686155,3.6097029308219675,1.917395238514274,0.44196788808692133,3.282245665864707,0.2633685140650073,1.728157246459375,0.43021575133478507,-3.7172201461011127,4.493952015071045,1.3939520150710507,-3.5485291879364667,0.31989186469510855,1.7558567769758184,1.5225234436424842,-1.8005534794344413,-1.7492714281523973,-3.3625511832231894,0.5926726973738283,3.6878829207666683,-0.8676726347888888,1.9666792877983283,-0.20864538752634587,1.6805879597715148,4.241878282352161,0.48703957267473186,-0.5452184918413963,-5.884143223024182,-3.584143223024185,3.5287734436424785,-2.3149765563575215,0.6953711257616817,-1.3377414570197743,0.2695822671718844,-0.8938164256385619,1.2225234436424728,1.8686772897963237,-1.4034505823315442,0.6679779890970252,2.310835131954164,-1.1826713615523232,-5.821921000801964,-4.279437340671251,-0.8390150178959885,1.9148311359501662,3.9861598072788382,1.209936031055065,0.5645524291497281,-0.20356351287925634,0.5368091579281895,-4.248905127786088,3.7430908195290016,1.530324862082196,-0.9805299914720251,-1.4080109075025575,0.0828409039599336,2.1870395726747347,-2.5381908420718133,-1.6631908420718133,0.33680915792818666,4.676094872213909,
Hunter Haas,-6.017376308575578,-4.656474052936488,-2.3365074698120054,-2.2412693745739034,-1.536751670056205,3.2773508940463643,-2.0535943045458964,3.0640527542776255,-1.8572644905690225,0.45042781712328406,-1.0249995333040687,-3.184721755526283,-0.12839459503246076,3.1925930592885265,-2.2035989073259827,2.261189825068385,1.2375232353662398,0.22112979274329803,1.963248329943795,-3.1841875674921027,-2.973015406319945,2.9269845936800607,-2.0154966093274567,-3.1470755566958815,1.2888893555848284,-1.9444439777485059,-2.2675209008254313,-0.21623884954338735,4.220915499375678,-0.3346400561798788,1.4997118664073383,-4.675612808917336,4.337374204069675,0.7313135980090664,-0.6931281882748266,1.0700297064620088,0.7525709476246192,2.1854067685201386,2.142310989138906,6.374099068609098,-3.979927848716258,-4.012185913232386,4.234921101616564,0.1873020539975272,4.785990804860191,0.7352661671790202,-4.28582328809334,0.9279698153549418,-0.3166661999707401,1.55833380002926,-1.9431281882748266,3.7213454959356937,0.8222226889181599,-0.7333328666373973,-8.771596295629308,1.1952911215892357,-1.435353068657605,0.9282832949787547,-0.22699431331898268,-0.9585379374800596,1.502778244473717,0.5722226889181599,-0.19738515421910563,-2.360783847029552,-3.2444439777485172,2.4017098684053337,0.09758500775873813,3.3294690657297537,3.2761233981380116,-0.9366425593087939,1.5525025871369849,2.1250216711064525,2.9948417365371967,-0.13015826346280335,-2.1301582634628033,4.209127450822919,
Patrick Sheehan,-3.3730338691717776,-8.012131613532688,-0.692165030408205,-0.596926935170103,2.1075907693475955,0.9216933334501647,0.590748134857904,-2.291604806318574,-0.21292205116522211,1.0947702565270845,1.6193429060997317,-1.5403793161224826,-0.48405215562866033,1.836935498692327,1.4407435320778177,-0.09446773552781451,0.8818656747700402,0.8654722321470985,1.6075907693475955,2.4601548719116977,0.6288458300763438,0.49726688270791897,3.933231794988629,3.6998984616552946,3.296630487799078,1.0090487884526738,-1.623178461421631,-4.571896410139587,-0.18517616521037894,-3.2299522846133613,-1.1347420612205212,-3.6902976167760784,-0.6783624079099297,4.930333244263991,-0.8559456941888612,0.9687296304864645,1.9817166434734759,-2.624343962587133,-0.5246048496029942,-1.2861942535764967,-1.4223237605669397,4.609422271179099,2.857962977784325,-3.5807466996350286,-2.0696667557360087,1.6984491862929758,-0.21334657145729352,2.0184415080128986,0.6644145906875423,0.6321565261714142,0.43033324426399133,-3.6203913934171794,4.699898461655295,-4.071530109773278,1.3585191513104604,-0.42768774524125774,2.3276762394330603,5.20267623943306,-1.2987857488710262,-0.6343120646605058,-0.9576772959204618,-0.6849500231931955,0.4665651283219603,0.9110095727664032,0.2932317949886283,-1.4067682050113746,-6.293851538344711,-3.137601538344711,-0.1272538562255079,-0.1603664390069639,-2.553042714815305,0.2835585923742485,-0.6001015383447168,-0.9539476921908658,1.7739244356812662,-0.15464699289016437,0.4882101499669744,-1.0052963435395128,1.355454017210846,-1.1020623226584405,-0.6616399998831781,1.0922061539629766,1.1635348252916486,-2.6126889509321245,1.443734078093641,2.2108573657648805,-2.2580725528374614,4.973811505133554,1.714184175941,2.9284698902267223,3.920465837541812,-4.2923001199049935,-1.8924092306524045,-1.107793846037012,0.19684502654078528,-2.230635889489747,0.260215921972744,-3.635585409312455,0.6391841759409971,0.5141841759409971,3.514184175940997,-0.14653010977328051,
Camilo Benedetti,-3.681629607363405,-3.320727351724315,-2.0007607685998323,-7.90552267336173,0.3107471679081044,-1.84897505431411,0.20735210617971234,2.5283397605006996,-0.011965250392549365,-2.2995469497389536,-0.8086972765363356,-3.7586972765363384,-5.931774199613258,-4.880492148331214,-0.4937719034020063,4.461451977195011,-2.4433377994121486,-0.9988933549677057,2.013041853898443,0.621737506072364,1.8354585676195114,2.660133892294837,-0.45063276040730216,5.110657562173344,-0.3573814870626535,-1.5942235923258181,-3.9116823511632077,0.5211534697323117,-1.5219423096489209,-1.2901542301787288,0.7913027234636587,2.9913027234636616,-0.878262493927636,2.0710128683911933,3.049923413118833,1.263716516567115,0.3926185129373465,2.057092197147867,-2.842030609869667,1.6024138345747758,1.984636056797001,5.284636056796998,2.5641504055828648,5.531037822801409,0.13836154699306746,-1.0250371458173788,2.465328697489639,11.536757268918208,-1.9531417209807813,-0.41065806085006784,2.0297642619251945,-0.21638958422865073,-1.1450609128999787,-6.921284689123752,1.1351383399020136,1.9022616275732531,4.433331708970911,-2.3347842330580733,-3.3881299006498153,3.399104141903379,-3.201004968844032,-3.4163895842286394,-0.11175071165084205,0.46076837231862555,
Marc Turnesa,-0.0013773321847310172,-6.640475076545641,-8.320508493421158,0.7747296018169436,1.479247306334642,3.2933498704372113,5.962404671844951,-1.9199482693315275,0.9909994430867783,-1.168722779135436,0.8876043813583863,-0.7914079643206264,4.812400069064864,-1.722811198540768,1.979247306334642,-5.168188591101256,5.042983570070902,5.942983570070908,-0.9994976329366096,1.8689234196949656,-1.3317129752138754,5.38070532543972,2.7484780755654157,-1.2002398731525403,-3.7630855242334746,0.6813589202109682,-1.3067058709228832,1.301989781251038,3.5157108427981854,-2.659613832526489,-4.152948312615948,0.08546228341054984,-2.050667223579893,-4.018921191833854,-4.770380485228628,3.790909837352018,4.301989781251038,2.0701057232800224,-0.8416900344702469,0.39009804499994516,2.4715549986423326,0.6715549986423355,-2.963928872325411,-2.9961869368415393,-1.749079921992589,-0.7966989696116258,1.801989781251038,-1.2487348564301328,1.0715549986423412,-1.699873572786231,5.07287078811602,-2.2626555276734592,-3.161778334690993,0.28266610975344975,-1.2141592870719506,3.9429835700709077,-0.3351116680243251,0.964888331975672,-1.7555973192384613,-0.7887099020199173,4.789004663071864,4.0574610389107875,-2.1813861778282586,-1.3447848706387049,3.77155499864233,-1.5822911552038192,2.145580972668313,0.21700954409688222,2.7271105541978926,-0.7304057856713939,-0.46480863772130476,-3.241032413945078,-2.1846093849193124,-0.41748609724807295,5.113583984149585,-0.6545319578793993,0.2921223745288586,-2.920643582917947,3.479247306334642,-3.7361373090499654,-4.431498436472168,-6.8589793525027005,-1.3681275410402094,-1.2639288723254083,4.010840712928044,1.8858407129280437,0.8858407129280437,0.22512642721376608,
Jeremy Anderson,-1.975105837507698,-5.614203581868608,-0.29423699874412534,-5.198998903506023,1.5055188010116751,0.3196213651142443,3.9886761665219836,2.1063232253455055,0.01727093776381139,-3.142451284458403,4.913875876035419,2.2348635303564066,-2.9732261382595766,0.8951949143719986,-3.6688401733472915,-2.902173506680626,4.694558519463158,4.406976820116753,-1.2252504297575513,0.8260316215244927,6.263185970443558,0.7076304148880013,-0.4580176625247816,2.366657662150544,-1.7441089905515952,-3.182818667970949,0.328261275928071,1.0963772179570554,-1.6508577172069465,4.112300177529889,4.184581460206786,2.416369539676978,0.06234262235162191,-2.969915442164506,3.277191572684444,-0.7704274749345927,1.86449315998604,-1.6910623955695172,0.6911598266527079,0.9911598266527051,-2.7293258245614282,7.237561592657116,4.815276157748897,1.0837325335878205,-3.1551146831512256,-3.318513375961672,-2.202173506680637,0.4439803394732138,0.17185246734534587,1.2432810387739153,3.886138181631054,-1.6073683118754332,-4.246617951125074,-0.7041342909943609,-0.2637119682190985,-4.509865814372944,-3.4385371430442717,-4.214760919268045,-0.1583378902422794,-4.39121460257104,-2.860144521173382,-3.6282604632023663,1.1121122076050796,3.326397921890802,1.3183938692058916,4.105627911759086,1.594773058204865,-0.8327078578256675,3.0371122076050767,-0.08788779239492328,-2.0878877923949233,-3.748602078109201,
Chris Nallen,-2.672376761910357,-2.311474506271267,-5.991507923146784,-4.896269827908682,-5.191752123390984,1.6223504407115854,-3.785158716797582,6.468809537170671,-2.7085947578806753,4.409052300942847,-0.6799999866388475,-0.8397222088610619,5.21660495163276,1.5375926059537477,4.141400639339238,-0.3938106282663938,1.3295029373377645,0.1979239899693397,-2.0027124049395013,-0.2902941042859055,3.2005555689167124,5.25055556891671,-0.9225213541602102,0.1287606971218338,7.5659150460408995,-1.9896405095146577,4.8447114130725595,3.6693867377478853,-2.8239477423415735,3.414462853684924,4.558620085045746,-4.880089592373608,0.630990351525412,-4.6008937064456035,8.487310535804127,-2.2809013847256807,0.365071697948963,-3.667186366567165,0.5799206482817851,1.5323016006627483,-6.869009648474588,0.0802657138442413,-2.5994444310832847,-0.37087300251185695,-3.5981286416096054,4.066345042600915,-3.832777764416619,2.611666680027824,-6.006111097749951,-3.706111097749954,-0.5931944310832904,3.5630555689167096,-3.426596748964087,-4.459709331745543,0.9096464780076161,0.27328284164397587,3.1180052333462385,-0.6135383908148384,-0.8523856075538845,-3.0157843003643308,-1.899444431083296,-1.2532905849294451,0.47458154294268695,-3.4539898856287437,-0.8111327427716049,-0.3046392362780921,0.05611112447226674,-3.40140521539702,1.0390171073782426,0.7928632612243973,3.8641919325530694,5.087968156329296,-0.5574154455760407,-1.3255313876050252,7.414841283202421,4.629126997488143,-1.3788770551967673,2.4083569873564272,-2.102497866197794,-2.5299787822283264,0.9608730292341647,0.06507169794896583,2.339841283202418,2.214841283202418,-2.785158716797582,-0.4458730025118598,
Tim Wilkinson,0.43943411176555003,-6.19966363259536,-3.8796970494708773,-1.7844589542327753,1.4032161157952316,-2.4791368253812465,-1.4004540702278945,1.9072382374644121,-0.5681891129629406,1.272088664814845,-0.6715841746913327,-3.3505965203703454,-2.7467884869848547,0.7180002454095131,2.694333655707368,1.677940213084426,0.10909846873640561,0.8215167693900014,0.31236644259261936,2.3623664425926165,0.18928951951569672,1.2405715707977407,-1.3222740802831936,2.1221703641612493,1.134105573027398,0.742801225201319,-3.0434777132515336,-0.21880238857620782,0.7941846244108035,2.1881240183501944,-1.2363177679336985,2.526840126803137,1.2093813679657472,-4.357782811138733,-1.4008785905199659,1.8309094889502262,-1.0876335574073863,0.11236644259261652,-1.52311742837513,-0.5553754928912582,-0.30826847804230795,-2.3558875256613447,0.24280122520131897,0.19207658752014822,3.512366442592622,1.74093787116405,-1.829012867752212,4.38478023569607,-1.859855779629612,-0.984855779629612,-2.4863177679336985,-0.8218440837231782,0.8547906850168658,0.1275179577441321,-1.720966890740712,2.723477553703731,-1.894300224074044,-1.594300224074047,5.5186164425926165,-1.3251335574073835,-2.3147858752881803,-1.3478984580696363,-1.978542648316477,-3.614906284680117,-3.7405747338779776,-1.9039734266884238,2.212366442592611,-0.1414797112535382,2.586392416618594,0.6578209880471633,-0.8320780018518263,-3.289594341721113,0.15082798105414952,-0.09532586509969576,-6.023997193771024,1.1997790300052031,3.2562020590309686,2.023325346702208,0.5543954280998662,-1.2137205139291183,3.5266521568783276,-1.25906212883595,-0.26706618152086037,-0.47983213896766586,1.9200587502849231,5.704674134900316,-1.990686992521887,-0.4181679085524195,3.0726839029100717,-2.8231174283751272,2.4516521568783247,7.326652156878325,4.326652156878325,0.6659378711640471,
Richard Johnson,-2.52289368442311,-0.16199142878402029,-6.842024845659537,-1.7467867504214354,-2.5305169091516007,4.309760868626185,-2.7091162831735147,-0.24432755077914692,2.732005859518708,3.715612416895766,4.457730954096263,2.3102950566603653,-3.5210139851749886,0.34740706745658656,-0.21662802026270356,6.550038646403962,0.14677067254774556,2.8591889732013414,-4.773038276672963,1.2782437746090807,-2.3350359804617113,-2.3798120998646937,1.7153981235281464,1.1598425679725892,-1.0058055094401936,1.8188698152351321,3.8318568282221435,7.225796222161534,-2.2918968374670072,-0.730606514886361,-0.21952657098734107,1.5485893710416434,0.8013544358776414,-0.4354876693855232,2.247053571777087,2.6798893926726066,-2.48544522456379,-0.5177032890799182,5.729403725769032,0.6817846781499952,-2.719526570987341,-1.7702512086685118,0.5500386464039622,11.77861007497539,-1.4486455641223586,0.21582812008816177,-1.1075371111717942,1.165190161555472,-1.8566280202627041,-6.556628020262707,-3.4437113535960435,0.7125386464039565,-1.2771136714768403,-2.3102262542582963,-3.940870444505137,4.422765919131223,2.2674883108334853,0.5359446866724085,-2.7029025300666376,-4.866301222877084,-0.7499613535960492,-1.1038075074421982,-2.375935379570066,-5.304506808141497,0.338350334715642,2.844843841209155,4.205594201959514,-1.251922137909773,-5.986324989959684,0.2374512338165431,-1.7061257371576914,-2.939002449486452,5.592067631911206,-1.1760483101177783,1.7706060222904796,6.557840064843674,-1.5106756393103353,-3.6356756393103353,-0.6356756393103353,-1.296389925024613,
