*Mercedes Championships,,,,,,
Jim Gallagher Jr.,-,71,MC,MC,143,-
Brian Henninger,-,75,MC,MC,143,-
Gabriel Hjertstedt,-,73,MC,MC,143,-
Bruce Lietzke,-,69,MC,MC,143,-
Blaine McCallister,-,73,MC,MC,143,-
Gary McCord,-,72,MC,MC,143,-
Joe Ozaki,-,73,MC,MC,143,-
Lee Porter,-,70,MC,MC,143,-
Bob Tway,-,71,MC,MC,143,-
Dave Barr,-,72,MC,MC,144,-
Jim Carter,-,73,MC,MC,144,-
Trevor Dodds,-,70,MC,MC,144,-
Joe Durant,-,78,MC,MC,144,-
Brad Fabel,-,72,MC,MC,144,-
Ed Fiori,-,69,MC,MC,144,-
Pete Jordan,-,73,MC,MC,144,-
Sandy Lyle,-,73,MC,MC,144,-
Dan Pohl,-,73,MC,MC,144,-
Mike Standly,-,73,MC,MC,144,-
Kirk Triplett,-,74,MC,MC,144,-
John Adams,-,77,MC,MC,145,-
Bob Gilder,-,72,MC,MC,145,-
Hal Sutton,-,73,MC,MC,145,-
Mark Wiebe,-,73,MC,MC,145,-
Fuzzy Zoeller,-,74,MC,MC,145,-
Ronnie Black,-,74,MC,MC,146,-
Clark Dennis,-,75,MC,MC,146,-
Scott Gump,-,72,MC,MC,146,-
Tom Purtzer,-,70,MC,MC,146,-
Mike Reid,-,73,MC,MC,146,-
Jay Synkelma,-,71,MC,MC,146,-
Howard Twitty,-,75,MC,MC,146,-
Grant Waite,-,73,MC,MC,146,-
Willie Wood,-,75,MC,MC,146,-
Fulton Allem,-,71,MC,MC,147,-
Michael Bradley,-,73,MC,MC,147,-
Tim Herron,-,73,MC,MC,147,-
P.H. Horgan III,-,72,MC,MC,147,-
Jerry Kelly,-,73,MC,MC,147,-
Neal Lancaster,-,75,MC,MC,147,-
Omar Uresti,-,73,MC,MC,147,-
Randy Wittig,-,71,MC,MC,147,-
Ben Crenshaw,-,74,MC,MC,148,-
Corey Pavin,-,70,MC,MC,148,-
Clarence Rose,-,73,MC,MC,149,-
R.W. Eaks,-,75,MC,MC,150,-
Scott Watkins,-,76,MC,MC,150,-
Tommy P. Johnson,-,79,MC,MC,151,-
Tommy Tolles,-,79,MC,MC,151,-
Phil Tataurangi,-,75,MC,MC,152,-
Mike Brisky,-,81,MC,MC,153,-
Kevin Pappas,-,72,MC,MC,153,-
Chip Beck,-,75,MC,MC,154,-
Lennie Clements,-,WD,WD,WD,78,-
Guy Boros,-,DQ,DQ,DQ,76,-
*United Airlines Hawaiian Open,,,,,,
John Huston,-,65,66,66,260,"$324,000 "
Tom Watson,-,64,70,66,267,"$194,400 "
Trevor Dodds,-,70,65,68,268,"$122,400 "
Greg Kraft,-,67,63,70,269,"$74,400 "
Brett Quigley,-,68,67,66,269,"$74,400 "
Mike Reid,-,68,69,67,269,"$74,400 "
Olin Browne,-,66,66,71,270,"$54,225 "
R.W. Eaks,-,63,70,65,270,"$54,225 "
Frank Lickliter II,-,64,66,72,270,"$54,225 "
Steve Stricker,-,67,68,69,270,"$54,225 "
Brandel Chamblee,-,67,66,70,271,"$38,160 "
Peter Jacobsen,-,68,67,67,271,"$38,160 "
Steve Jones,-,70,67,66,271,"$38,160 "
Larry Mize,-,66,66,68,271,"$38,160 "
Duffy Waldorf,-,66,67,70,271,"$38,160 "
Jay Don Blake,-,67,65,70,272,"$27,000 "
Russ Cochran,-,67,67,68,272,"$27,000 "
Robert Gamez,-,67,65,72,272,"$27,000 "
Skip Kendall,-,63,70,72,272,"$27,000 "
Kenny Perry,-,67,68,70,272,"$27,000 "
Tommy Armour III,-,67,71,68,273,"$18,000 "
Keoke Cotner,-,67,67,69,273,"$18,000 "
Jim Furyk,-,68,67,69,273,"$18,000 "
Brent Geiberger,-,70,66,69,273,"$18,000 "
Craig Stadler,-,65,69,70,273,"$18,000 "
Mike Weir,-,71,68,66,273,"$18,000 "
Tom Byrum,-,68,69,73,274,"$11,981 "
Brian Henninger,-,67,70,70,274,"$11,981 "
P.H. Horgan III,-,68,68,71,274,"$11,981 "
Jeff Maggert,-,69,69,71,274,"$11,981 "
David Ogrin,-,69,73,69,274,"$11,981 "
Hugh Royer III,-,65,72,70,274,"$11,981 "
Curtis Strange,-,67,71,71,274,"$11,981 "
Esteban Toledo,-,68,67,70,274,"$11,981 "
Fred Couples,-,69,65,71,275,"$8,874 "
Tim Herron,-,71,68,70,275,"$8,874 "
Billy Mayfair,-,67,68,71,275,"$8,874 "
Howard Twitty,-,69,70,66,275,"$8,874 "
Vance Veazey,-,69,66,70,275,"$8,874 "
