Zach Johnson,28.32,70.4,2.1908902300206647,25.0,70.16,3.2579748310875574,25.0,68.42857142857143,3.8243758105259547,21.0,70.0952380952381,3.145741821888332,21.0,4619812,25
Adam Scott,75.38888888888889,72.5,3.9334745737353156,18.0,72.94444444444444,3.9647365363248457,18.0,70.75,2.222048604328897,8.0,70.375,2.8695600708122493,8.0,738139,18
David Toms,35.28,69.36,2.447529366524537,25.0,70.08,3.1612655693566785,25.0,69.4,2.8530685235374205,20.0,70.3,3.551056180912941,20.0,3010705,25
Charles Howell III,51.17857142857143,70.57142857142857,2.5694436783721364,28.0,70.85714285714286,3.090472521826276,28.0,70.85,2.8508770580296874,20.0,70.05,3.499642838919423,20.0,1785132,28
Kevin Na,31.40909090909091,69.95454545454545,2.549104525965446,22.0,70.04545454545455,3.8785807236348795,22.0,70.21052631578948,3.333702657286972,19.0,70.05263157894737,3.017033820624529,19.0,2724826,22
Brian Gay,45.56,69.92,3.1230754073509015,25.0,71.04,3.423214863253547,25.0,70.75,3.5619517121937516,20.0,69.9,3.4626579386361565,20.0,3141625,25
Steve Marino,45.0,69.88888888888889,2.997941680718232,27.0,70.5925925925926,3.033873691299614,27.0,69.73684210526316,4.07614504756068,19.0,70.83333333333333,2.967415635794142,18.0,2125047,27
George McNeill,53.65384615384615,70.53846153846153,2.468739467058648,26.0,70.88461538461539,2.7079217560126048,26.0,69.13333333333334,2.8487814158961995,15.0,70.66666666666667,4.221637386396684,15.0,1439220,26
Webb Simpson,64.14814814814815,71.11111111111111,2.960647243216496,27.0,70.92592592592592,2.7477388134802085,27.0,70.33333333333333,2.9814239699997196,15.0,71.06666666666666,3.4344658326376685,15.0,1070537,27
Bill Haas,59.07142857142857,71.5,3.2895939827627014,28.0,70.10714285714286,2.716869071379851,28.0,70.4,3.3226495451672293,15.0,69.66666666666667,2.599145158615724,15.0,1388925,28
Boo Weekley,45.333333333333336,70.23809523809524,3.490187086058798,21.0,70.71428571428571,2.332847374079218,21.0,71.5,2.455153310442706,18.0,69.94444444444444,6.398543429929296,18.0,1012449,21
Tim Clark,33.473684210526315,70.3157894736842,3.3253829471434346,19.0,69.73684210526316,3.431159160632972,19.0,69.8125,2.833256739160784,16.0,69.5625,2.6450129961873534,16.0,1866226,19
Marc Leishman,56.7037037037037,70.70370370370371,2.8260011639904135,27.0,70.77777777777777,3.5416394334464947,27.0,69.29411764705883,2.58422148664574,17.0,71.3529411764706,3.4800469312350684,17.0,1729006,27
Rory Sabbatini,52.708333333333336,71.45833333333333,3.5470547250109097,24.0,70.33333333333333,3.2489314482696554,24.0,70.625,3.2379584617471546,16.0,69.75,4.205650960315181,16.0,2707292,24
Scott Piercy,60.92,70.96,3.1045772659091604,25.0,70.92,3.999199919983996,25.0,69.57142857142857,3.395675521144203,14.0,71.42857142857143,3.849198167230709,14.0,973046,25
K.J. Choi,59.2,72.05,2.8013389655662877,20.0,71.55,2.5782746168707478,20.0,71.63636363636364,3.1413004623947263,11.0,70.3,2.6095976701399777,10.0,910269,20
Tim Herron,63.16,71.08,3.3096223349500176,25.0,70.64,3.6756496024512466,25.0,70.6,3.773592452822641,15.0,69.66666666666667,3.3598941782277745,15.0,570101,25
Bob Estes,50.25,70.85,2.264398374844851,20.0,70.3,3.363034344160048,20.0,70.46666666666667,3.383620677453205,15.0,70.71428571428571,3.1493439550069433,14.0,801075,20
Sean O'Hair,37.6,69.55,2.940663190506523,20.0,70.55,3.653423052426314,20.0,71.125,3.8547859862773186,16.0,70.5625,3.0407390137925354,16.0,3900094,20
Jeff Klauk,51.38461538461539,70.23076923076923,3.016718700173473,26.0,71.11538461538461,3.214473555138755,26.0,70.33333333333333,3.4801021696368504,18.0,70.55555555555556,2.1914536581462247,18.0,1200503,26
Nathan Green,60.96551724137931,70.24137931034483,2.111629088606187,29.0,70.93103448275862,3.750227896364834,29.0,71.5,4.469594246379947,22.0,72.3,3.551056180912941,20.0,1436343,29
Jerry Kelly,43.333333333333336,69.95833333333333,3.034237502606252,24.0,70.16666666666667,3.3499585403736303,24.0,70.61111111111111,3.0210169165161167,18.0,69.77777777777777,2.322727217818541,18.0,2545307,24
Cliff Kresge,70.5,70.84615384615384,3.266288268548022,26.0,71.61538461538461,2.51268968785555,26.0,70.63636363636364,2.185602778212965,11.0,70.44444444444444,2.8327886186626583,9.0,451583,26
Troy Matteson,61.758620689655174,70.82758620689656,3.3432274878733295,29.0,69.44827586206897,3.023884312881898,29.0,71.5,3.7006005518624194,18.0,71.0,2.5,16.0,1446742,29
Ryuji Imada,60.083333333333336,71.83333333333333,2.6404965862924765,24.0,70.375,2.796016511634603,24.0,72.1875,3.320744457196308,16.0,71.4375,3.353519606324078,16.0,681723,24
Chez Reavie,72.8076923076923,71.53846153846153,3.0788455532599235,26.0,71.03846153846153,2.65273109238775,26.0,70.08333333333333,2.396467307424734,12.0,71.16666666666667,3.8042374035044424,12.0,467311,26
Briny Baird,60.22222222222222,70.03703703703704,2.7686269023749275,27.0,70.92592592592592,3.7111037184815845,27.0,69.86666666666666,2.445858177045886,15.0,71.53333333333333,3.138293945583952,15.0,1169642,27
Luke Donald,28.95,70.6,2.88790581563873,20.0,70.5,2.819574435974337,20.0,70.05555555555556,2.9528182813151806,18.0,70.72222222222223,2.4222477062879597,18.0,2034949,20
Cameron Beckman,58.92,71.72,2.9191779664830295,25.0,70.28,2.7498363587675536,25.0,70.375,3.370367190678191,16.0,70.875,3.07967124868873,16.0,709365,25
